"","T","Myeloid","B/Plasma","Fibroblast","Endothelial","Tumor","Epithelial"
"HCFC2",0.0699620235187526,0.0269513125557961,0.043212931719146,0.0560335941583356,0.15807834860657,0.0107448740819013,0.0174598460843716
"SETD7",0.0798327620068047,0.0740927880857539,0.0680796636948497,0.926807617599854,0.197739279330425,0.105612065504717,0.0556854440980058
"KLHDC10",0.0395525571908203,0.0385716508214358,0.0488971999112914,0,0,0.136428627610345,0.0883829500562425
"NASP",0.817635921532673,0.435041299202254,0.438589399564098,0.224202395138876,1.92959709432024,0.943231710892223,0.573116817745216
"ZDBF2",0.111122682491842,0.009222526722266,0.0933618719827684,0.0544380433144998,0.15807834860657,0.000346668525420465,0.00132903581923183
"SYNJ2",0.121646581212718,0.0475011554746665,0.0535193684585225,0.283325307365156,0.25556902015315,0.117197091771487,0.0634304046283279
"BOK",0.00192086997148998,0,0.00160282599284034,0,0.460928579522465,0.0535959774481181,0.0361394744851557
"ALS2",0.0191438050810399,0.0228621147907239,0.00803731619572978,0,0.452265058711869,0.0168771560723317,0.0124067655170691
"RIMKLB",0.0276761967767612,0.00596355408215094,0.0291012008988133,0.284430703233083,0.107954044714647,0.00133968394051625,0.00468102828942234
"PPP2R5E",0.307221383987051,0.200814981083981,0.180160806388522,0.209293317952318,0.506336797641905,0.291490954003396,0.18474029863736
"IRX3",0.00305241959551865,0,0,0,0,0,0
"TULP4",0.227350752462615,0.093692408564942,0.129298416604406,0.316458473943883,0.773507457000238,0.129932933675461,0.099848113869825
"MAN2C1",0.109655451436227,0.11678144867156,0.0475512895198579,0,1.0339295075745,0.0984542771001022,0.0759936989246349
"COL27A1",0.0102916312164313,0.0303645209208603,0.0166285824431317,0,0,0.240827280558828,0.0576120767058786
"SH3GL1",0.0803240039808151,0.129815887934661,0.0732356858561638,0.237140986665858,0.197739279330425,0.164682458260351,0.102602100478322
"SETX",0.366244213101871,0.294201262667813,0.385584516284139,0.360321522265762,0.473694655511586,0.257219508973243,0.131809061163144
"TMEM245",0.133252279775593,0.0922343806163557,0.0523831062983314,0.111032820180864,0.0955325220113626,0.0870126288591662,0.0242727663239693
"PKN1",0.308484275262442,0.272009037102452,0.195256870438811,0.381669533696634,0.305693324045073,0.0553872804644245,0.0552165172493051
"RASA4",0.0285402032439786,0.011015016586992,0.0182126556229892,0,0.241759703392322,0.00977270338378583,0.00420136735345254
"SETD5",0.267621355407868,0.204963577550695,0.210572860228141,0.477258782663797,1.3090468418806,0.164494715912217,0.106525733031533
"PUM1",0.369365492588587,0.245671974769017,0.270721537354932,0.279476509914615,0.803366600876381,0.363079645993976,0.173114520393626
"SLC26A2",0.0389158316362,0.0638032371253402,0.0225671756342499,0.102840654456054,0.26318930019204,0.101069798336773,0.0865746859743465
"KLHL2",0.0430240687702967,0.113660059694869,0.0306149318249216,0,0.0501243038919224,0.0139610795794334,0.0129914119551927
"MBTPS1",0.256388917376521,0.12247152569645,0.151384140893239,0.328429742135977,0.516198679364619,0.183977745437838,0.0710749969552157
"TRAK2",0.0741240965168881,0.0845240335676073,0.0390494803688236,0.0544380433144998,0,0.0870878484283673,0.0723057971201478
"ZDHHC3",0.123443571309171,0.121043396339102,0.0633513795021581,0.039834493686882,1.0511565862311,0.331821335209821,0.212261453844365
"TPST2",0.184984526546493,0.215463779539605,0.134223188060149,0,0.547797580723231,0.0506996818351865,0.0242631740569811
"MPZL2",0.00386546554713474,0.028501159770988,0,0,1.76479889747003,0.0438563225575615,0.00730274445765407
"NFATC1",0.117990634830636,0.104174107183257,0.158882465144197,0.039834493686882,0.268558453415876,0.000904554303351,0
"ZMYM2",0.33993830404844,0.190994332160022,0.262377621124085,0.147322349628454,0.241759703392322,0.147132975989152,0.0723671737578727
"SMNDC1",0.247414750340928,0.153886694580379,0.151950177448035,0.611607955203406,0.816356034139107,0.154640735963063,0.118028134825003
"MSRA",0.0418420265078261,0.0779443157331063,0.0692573640366669,0,0.210505355319546,0.122357535869261,0.112263965704781
"VPS36",0.275093042887598,0.236066234699009,0.254869333644053,0.177089807282218,0.682136267577643,0.317604968719636,0.275445043358876
"CD320",0.174995765166025,0.0294668590800167,0.119079925434435,0,0.147614975438503,0.377215913919248,0.115230331805894
"HIVEP1",0.160612311078646,0.125015693691461,0.112667901257,0.411626120034151,0.318459400034194,0.0806402024946269,0.034791957991325
"ANKRD26",0.0797511676499932,0.028125834429263,0.0939723830395443,0.212022268643993,0.337292225403685,0.129019511797811,0.0373958572567942
"ZBED6",0.0166774967979056,0.0107901714136344,0.00922659012284794,0,0,0.0122065088598893,0.000856633605048877
"PON2",0.0614457243639295,0.0636473847525482,0.0202006255667562,0.0666181698093824,0.453652852769412,0.340934954501408,0.180848716441183
"ITGB4",0.00338297320825247,0.0150210062667193,0.0107597081787539,0,1.37906050056305,0.175828020072784,0.130529849424145
"POLR2A",0.396318321057611,0.300921918752337,0.256094739676398,0.61339961422197,0.773931602573187,0.261429071577288,0.113670688776109
"RAB11FIP5",0.0149254010598377,0.0128324602228626,0.00561884234479706,0,0,0.0156146081502082,0.00777614451469446
"ZNF678",0.0380866727370185,0.0217606446630213,0.0335052619789363,0,0.241759703392322,0.0273064961014367,0.0162556558742137
"TAP2",0.19480592248008,0.175546038407555,0.125410458259297,0.111032820180864,0.747821877889412,0.0451638062369682,0.0314209488766147
"DPY19L4",0.0323331960701341,0.0264001316130012,0.0160344578542147,0.110471637472835,0,0.0412622551464311,0.0210376136907502
"TNIP2",0.259983447095589,0.139540548668931,0.171713126293022,0.0958680878452176,0.210505355319546,0.164846415869166,0.148178654255459
"RLIM",0.237328277499638,0.187876045915461,0.163793451075573,0.251856762330875,0.215150963217825,0.223193742925515,0.118299381891091
"MCMBP",0.123371773341498,0.156697175430108,0.0648588487625123,0.0544380433144998,0.397074551156827,0.196697792700382,0.150280025186082
"TSC1",0.0562772828125878,0.0808475379176113,0.0382290325915466,0.233704791457318,0.0501243038919224,0.0832788258404765,0.056675327818409
"ZNF83",0.135937896030127,0.0686065307870984,0.105745358867421,0.358197199789741,0.107954044714647,0.0519236354601553,0.0357970059371428
"BAZ2A",0.288716006050788,0.154164749266316,0.236091997336603,0.288142834771818,0.622079318679686,0.144487297595499,0.10595286343209
"CHMP5",0.280503661750615,0.451627215200708,0.163023984749719,0.52458027280873,0.581872057499838,0.597336181686678,0.756466848829568
"PANK3",0.0983145482825541,0.13236520358401,0.0819589242280144,0.316458473943883,0.452265058711869,0.174613260414924,0.120088076983579
"SLC41A3",0.0615054435056138,0.0326649670997746,0.0273300718156558,0.076120566127825,0.243147497449865,0.0306549733861037,0.0311178151112353
"DSTYK",0.0868574392295464,0.0260855024332302,0.0607198898013042,0.482094981491593,0.57229232450053,0.0358140243594958,0.013120729385719
"RMND5A",0.145443041085729,0.0775879718499666,0.0885243743748794,0.224202395138876,0.306037877330909,0.129592036338853,0.0951015414374053
"SLC1A4",0.0298945486506689,0.088083419735088,0.0444049931501756,0.0560335941583356,0.147614975438503,0.0207394611903792,0.00254047737775287
"MYO5C",0.023171719066673,0,0.0108488896363056,0,0.523818959403508,0.127736504265334,0.118448990464411
"PELP1",0.0931586327298849,0.0500029658690433,0.0555076749844599,0.1624862576546,0.305693324045073,0.206327633898042,0.098700119794305
"VEZT",0.202371206195942,0.110870325688294,0.129151814090961,0.121056213123882,0.137682330432468,0.1054709977515,0.0730520724006381
"SPRED2",0.0184919716798391,0.0393296836142698,0.00274352101424321,0,0.0501243038919224,0.0681750774185781,0.0450857162297652
"NR1D2",0.185824194691051,0.0596509450042005,0.139916057386255,0.039834493686882,0.241759703392322,0.0655868740946704,0.0386946758540158
"FAM76B",0.243153979436365,0.102808123544477,0.199065457525611,0.0544380433144998,0.291884007284245,0.0656423582296395,0.0317980608391824
"IPO9",0.0833254722016834,0.0541901334694198,0.0665901465639109,0.0666181698093824,0,0.093233120630016,0.0344728837665311
"SLC41A1",0.0865753898016995,0.0312996994810578,0.0443165831437153,0.254437613044316,0,0.0113186194813805,0.012347464315792
"TRIM56",0.278200736250785,0.205387560879759,0.228243318926258,0.390113315633282,0.147614975438503,0.26132212891942,0.14673228882009
"KBTBD2",0.168453006970075,0.107331694650065,0.127464438994466,0.111032820180864,0.466074375472696,0.10509644494156,0.056983715239557
"RPS6KA3",0.466653083675879,0.252718566430248,0.164779004768568,0.130558609442325,0.318459400034194,0.403756564741324,0.312915760285317
"SETD2",0.370461038987285,0.186799281835216,0.287320323556139,0.388549504466916,0.617764578379216,0.175422232551395,0.0913640399395043
"RBM10",0.088790989557655,0.083895969846649,0.08587335407469,0.125636369808482,0.306037877330909,0.216355274244313,0.0922142261843384
"PTAR1",0.157948247513151,0.0873578690196471,0.1259249781091,0.157584225329493,0.497328723545472,0.121637705780954,0.0999817331316888
"CLIP1",0.272901185829605,0.24293071031997,0.173058392368901,0.681017835767045,0.705597125248927,0.144395028949261,0.0959324381631853
"SLCO4A1",0.0162339883071406,0.029095412875887,0.0209609307387043,0,0,0.0283674240098409,0.0130392584034026
"GABRE",0.00894848273450787,0.0142269577572671,0.00762285676473512,0,0.410804275630542,0.158723628010777,0.0174807598574102
"SESN3",0.235239684298614,0.12893422518499,0.335556115835726,0.102840654456054,0.107954044714647,0.119341634601818,0.0786617045365994
"KIAA2026",0.287674978326424,0.16524172274756,0.203966692078873,0.188959960638484,1.01493890024733,0.176649925651413,0.0981681784111456
"MICALL2",0.0113702870895631,0.0366850543322804,0.00907914298434219,0.272408555108126,0.107954044714647,0.185151527596355,0.1147005850456
"CYP20A1",0.175706692871985,0.100110947427426,0.128614641253967,0.145568531583349,0.107954044714647,0.049920247451615,0.0477519101414937
"RALGAPB",0.0914376130903119,0.048115443050221,0.049288125588938,0.0544380433144998,0.241759703392322,0.0662021234078734,0.043818276773303
"NUDCD1",0.0483203974828691,0.0327229601396158,0.0437863285258205,0,0.260629659211469,0.160422244036259,0.0901702877167679
"CCNT2",0.155475792018136,0.151629325702597,0.13191628344123,0.471204471121647,0.705672069468307,0.0796015358390646,0.0459789597358375
"SLF2",0.0976794812307183,0.0882628285432657,0.0431378192714766,0.220380703486376,0.994207521911786,0.0658672387282589,0.0479077908786613
"CYB5B",0.189023888308444,0.125580293034853,0.0895764820046904,0.150306131159717,0.523241392447362,0.34760203829227,0.288686673670861
"DGKE",0.103059752101411,0.0303779055307268,0.0701907999790211,0.157584225329493,0.107954044714647,0.0314998963879793,0.01441313361712
"TM9SF3",0.326250500345776,0.419245134822368,0.287172381757111,0.315027355848785,1.03912373226861,0.615159184278965,0.390667116304957
"AP3D1",0.169987362578009,0.218390277294571,0.142107461610818,0.239471839701703,0.137682330432468,0.248612176949569,0.158737088613461
"FGD6",0.0137489778094867,0.0694313348752244,0.00968892415000966,0,0.400871630624508,0.0410016304430721,0.0524378074881152
"ATG9A",0.0829102496243955,0.026702454254756,0.0399672475761429,0.0666181698093824,0.393251350585618,0.0300278782154134,0.03188641447583
"USP31",0.0118180243956223,0.00760237156104725,0.00938353213521925,0,0.241759703392322,0.0437167988884507,0.0163502400643691
"PIEZO1",0.113014960770317,0.0994773595271757,0.0543927153853353,0.191186835671126,0.471975465543933,0.149503306041052,0.0592813066056272
"ABLIM1",0.205043031572616,0.014584899396912,0.133031507853587,1.68809987795404,0.620598739688952,0.162435748937366,0.141958957130988
"ACIN1",0.359482342298734,0.225018640817138,0.234902038732779,0.318483758366061,0.3878902744726,0.412316014084631,0.180487201767521
"NCBP3",0.21434900090292,0.153422316942703,0.148866163015862,0.039834493686882,0.137682330432468,0.167013361237587,0.0946849159499633
"TOP3B",0.0425953792490416,0.0356902584232819,0.025397350923579,0.039834493686882,0,0.0263595392636907,0.0141534932944941
"DENND6A",0.158953653033292,0.10178885455976,0.056933974961563,0.0958680878452176,0,0.0739562175741051,0.0396344319195548
