"X","Y","vx","vy","R_squared","Assignment","qsum","sf","vx.u","vy.u"
387.367038828,377.113327052,0.00294623493538024,-0.106140711293887,0.444780675115406,"T",0.106181593952373,86.9080935739123,0.256051661454755,-9.22448686913071
176.504417628,82.289043956,-0.0114482683532041,-0.122674001484376,0.561280007391322,"Endothelial",0.12320703506081,74.8986443711224,-0.857459780051812,-9.18811641076081
174.970871292,426.728061452,0.00689406666460796,0.0363750696937866,0.0508663652850708,"B/Plasma",0.037022612690137,249.254151247364,1.7183747351296,9.06663712308852
160.612667852,227.98346326,-0.0760691916310733,-0.0880158890146641,0.482545568484324,"Endothelial",0.116332792601427,79.3244939512164,-6.03415013141299,-6.98181585575465
478.684460968,366.310846244,0.0514647254704254,-0.0502105444668452,0.336483223966634,"Fibroblast",0.0719007423007808,128.344153450274,6.60519662305249,-6.44422982387458
360.142832672,542.383014292,-0.00783603882043658,0.0749494384283587,0.203182354723163,"Fibroblast",0.0753579579415586,122.456077036967,-0.959570573460044,9.17801420606049
432.929903252,232.166887456,-0.0166992649931728,-0.119800331813378,0.575186095906788,"Epithelial",0.120958608432421,76.2908901039127,-1.27400179041026,-9.13967394878668
472.245821572,159.097914976,2.409230964484e-17,4.02852156210796e-18,0.496294889767686,"Epithelial",2.44267961468388e-17,377783473836140160,9.10167643036359,1.52190887015694
106.337155372,60.481112972,1.07827375224424e-17,-3.93207800630899e-17,0.501349398697573,"Tumor",4.07724315346507e-17,226330379516303840,2.44046107567908,-8.89948707455626
147.306898172,275.651195204,1.33631397837235e-17,-3.33593130279929e-18,0.506725138639583,"Tumor",1.37732328280738e-17,669998105617628288,8.95327834019833,-2.23506765334607
169.532043968,145.006578668,-0.0942116999028665,0.052975638889508,0.329577294653456,"Tumor",0.108084516533772,85.3780004664829,-8.04360655825508,4.52295412182065
192.4450304,145.739523608,0.0133990511558738,-0.0508927294437346,0.271467111213247,"Fibroblast",0.0526270318573155,175.347907289536,2.34949557984791,-8.92393360421141
103.668484052,406.878409,0.0114804709344076,0.0585652453706769,0.142111317319808,"B/Plasma",0.0596798892274724,154.625620497835,1.77517494184014,9.05568740504891
211.588048756,484.367603272,0.0591600144291664,0.0280332535584712,0.307719006655455,"Epithelial",0.0654657972710385,140.959711600769,8.33917857223263,3.95155933683333
466.814511632,433.591433044,0.01832392232134,-0.0565806569972021,0.176272820672182,"Tumor",0.0594738335360479,155.161343306494,2.84316440202297,-8.77913074484985
418.804738716,300.75174038,0.0597110150387182,0.120548457281899,0.601867481821925,"Epithelial",0.134526338945204,68.596528942922,4.09596837131468,8.26920573896238
305.724489896,193.17797534,-0.000535279075246866,0.0321938887758006,0.0572240545347857,"Endothelial",0.0321983384384508,286.599879080096,-0.153410918239857,9.22676463026251
352.219509936,440.394665564,0.0661129074889312,0.0176883581443519,0.240667043476822,"Epithelial",0.0684382535610227,134.837454535742,8.9144961577645,2.38505318710098
495.091151548,289.896637884,0.125808730294793,-0.0328065250708557,0.57970387904917,"Myeloid",0.130015786370781,70.9763034215193,8.92943861447931,-2.32848587763474
305.780870276,399.71810074,-0.071630352597898,-0.0121445685904984,0.294208337563866,"Tumor",0.0726525839839749,127.015990306352,-9.09820017121522,-1.54255440636558
406.532609336,150.381508228,-0.106077466739796,0.0558741197043605,0.582881516217047,"T",0.119893061528471,76.9689236841165,-8.1646684420998,4.30057085544211
492.057887104,521.259165252,0.0555120523498902,0.0391715710955488,0.155352593420128,"Fibroblast",0.0679411505509774,135.824015757815,7.5398698731201,5.32044008974017
236.752491696,149.810187044,0.0837578867528173,0.0413107204459777,0.347208318428799,"Endothelial",0.0933914301050342,98.8103500788192,8.27614611190797,4.08192674927529
332.753244068,197.192258396,0.0186120798810342,-0.0283817479011356,0.115523622507165,"Myeloid",0.033940140415467,271.891624197131,5.06046862854114,-7.71675953439328
439.891000836,173.365909808,-1.08715741562389e-17,-6.43115594653979e-18,0.506512593418288,"Epithelial",1.26313455911599e-17,730566655503296896,-7.9424095713795,-4.69838809088371
141.131367216,101.774103284,-4.13055035232971e-18,-1.33987497362053e-17,0.506723889894415,"Tumor",1.40209821591283e-17,658159307123298432,-2.71856015792722,-8.81851184269938
