"vx","vy","rsquared","fctr","grid","X","Y","qsum","sf","vx.u","vy.u"
-0.0760691916310733,-0.0880158890146641,0.482545568484324,"Endothelial","grid_74",160.612667852,227.98346326,0.116332792601427,79.3244939512164,-6.03415013141299,-6.98181585575465
0.0514647254704254,-0.0502105444668452,0.336483223966634,"Fibroblast","grid_75",478.684460968,366.310846244,0.0719007423007808,128.344153450274,6.60519662305249,-6.44422982387458
-0.0673823101762841,0.0875872900233336,0.449218745311323,"T","grid_77",432.929903252,232.166887456,0.110507506977239,83.5060002298368,-5.62682720906771,7.31406426081927
0.0194628912641294,0.106229960349302,0.327084960533189,"Myeloid","grid_77",432.929903252,232.166887456,0.107998188004122,85.4462475119289,1.66303102425256,9.07695148518885
-0.0664261736695026,0.0883187569476698,0.448929532190694,"B/Plasma","grid_77",432.929903252,232.166887456,0.110510811132452,83.503503489625,-5.54681822481375,7.37492562897909
0.0723424042020126,-0.0681360459074316,0.377780395855144,"Fibroblast","grid_77",432.929903252,232.166887456,0.0993777852320477,92.8581763166937,6.71758372456401,-6.32698896439462
0.0587024533728176,-0.0941996295994958,0.437138660154378,"Tumor","grid_77",432.929903252,232.166887456,0.110993460386953,83.1403928742162,4.88054503609642,-7.83179421350773
-0.0166992649931728,-0.119800331813378,0.575186095906788,"Epithelial","grid_77",432.929903252,232.166887456,0.120958608432421,76.2908901039127,-1.27400179041026,-9.13967394878668
0.100596817416064,-0.0210649130071813,0.403531867245192,"Myeloid","grid_78",472.245821572,159.097914976,0.102778646781523,89.7855750392984,9.03214309882466,-1.89132532750257
2.409230964484e-17,4.02852156210796e-18,0.496294889767686,"Epithelial","grid_78",472.245821572,159.097914976,2.44267961468388e-17,377783473836140160,9.10167643036359,1.52190887015694
1.07827375224424e-17,-3.93207800630899e-17,0.501349398697573,"Tumor","grid_79",106.337155372,60.481112972,4.07724315346507e-17,226330379516303840,2.44046107567908,-8.89948707455626
-0.031895931480773,-0.0869367404484051,0.310383380680877,"Fibroblast","grid_80",147.306898172,275.651195204,0.0926031710300436,99.6514460616701,-3.17847569554297,-8.66337190157165
-0.0040665424488388,0.0921400153155598,0.468932103436513,"Endothelial","grid_80",147.306898172,275.651195204,0.0922297088244336,100.054960821857,-0.406877745398985,9.21906562252366
1.33631397837235e-17,-3.33593130279929e-18,0.506725138639583,"Tumor","grid_80",147.306898172,275.651195204,1.37732328280738e-17,669998105617628288,8.95327834019833,-2.23506765334607
1.33631397837235e-17,-3.33593130279929e-18,0.506725138639583,"Epithelial","grid_80",147.306898172,275.651195204,1.37732328280738e-17,669998105617628288,8.95327834019833,-2.23506765334607
0.0549390674543845,-0.0299896373646647,0.327342544884915,"B/Plasma","grid_81",169.532043968,145.006578668,0.0625913690697168,147.433105237903,8.09983731367454,-4.42146536163116
-0.0942116999028665,0.052975638889508,0.329577294653456,"Tumor","grid_81",169.532043968,145.006578668,0.108084516533772,85.3780004664829,-8.04360655825508,4.52295412182065
0.0591600144291664,0.0280332535584712,0.307719006655455,"Epithelial","grid_84",211.588048756,484.367603272,0.0654657972710385,140.959711600769,8.33917857223263,3.95155933683333
-0.0937871767708211,-0.0131713410237687,0.411930390906625,"T","grid_86",418.804738716,300.75174038,0.0947075432634891,97.4372218416262,-9.13836194891831,-1.28337887728466
-0.0835272432962762,-0.163003954399679,0.591301084263863,"Myeloid","grid_86",418.804738716,300.75174038,0.183158645776299,50.3827698874269,-4.2083338783274,-8.21259072525963
-0.094615223549298,-0.014793455171798,0.420997300940847,"B/Plasma","grid_86",418.804738716,300.75174038,0.0957647473927835,96.3615542699734,-9.11726999881135,-1.42552033337763
0.104437491384807,0.0330549733826302,0.521882342138857,"Fibroblast","grid_86",418.804738716,300.75174038,0.109543693894619,84.2407223542906,8.79788971512613,2.78457483515462
0.10778113719287,0.0373653199307162,0.537904693428378,"Tumor","grid_86",418.804738716,300.75174038,0.114074276978262,80.8950111057775,8.71895629021058,3.02266797076622
0.0597110150387182,0.120548457281899,0.601867481821925,"Epithelial","grid_86",418.804738716,300.75174038,0.134526338945204,68.596528942922,4.09596837131468,8.26920573896238
0.125808730294793,-0.0328065250708557,0.57970387904917,"Myeloid","grid_89",495.091151548,289.896637884,0.130015786370781,70.9763034215193,8.92943861447931,-2.32848587763474
-0.125808730294793,0.0328065250708557,0.57970387904917,"Fibroblast","grid_89",495.091151548,289.896637884,0.130015786370781,70.9763034215193,-8.92943861447931,2.32848587763474
4.90966481691202e-17,-9.71695974099473e-18,0.504276948592541,"Tumor","grid_89",495.091151548,289.896637884,5.00489776923614e-17,184380187738548128,9.05244920675583,-1.79161486129252
4.90966481691202e-17,-9.71695974099473e-18,0.504276948592541,"Epithelial","grid_89",495.091151548,289.896637884,5.00489776923614e-17,184380187738548128,9.05244920675583,-1.79161486129252
-0.106077466739796,0.0558741197043605,0.582881516217047,"T","grid_91",406.532609336,150.381508228,0.119893061528471,76.9689236841165,-8.1646684420998,4.30057085544211
-0.106077466739796,0.0558741197043605,0.582881516217047,"B/Plasma","grid_91",406.532609336,150.381508228,0.119893061528471,76.9689236841165,-8.1646684420998,4.30057085544211
0.092771490937093,-0.0344505740714426,0.350675513557458,"Fibroblast","grid_91",406.532609336,150.381508228,0.0989615661989192,93.2487253131285,8.65082327528237,-3.21247211846754
0.106077466739796,-0.0558741197043605,0.582881516217047,"Tumor","grid_91",406.532609336,150.381508228,0.119893061528471,76.9689236841165,8.1646684420998,-4.30057085544211
-0.0837578867528173,-0.0413107204459777,0.347208318428799,"T","grid_93",236.752491696,149.810187044,0.0933914301050342,98.8103500788192,-8.27614611190797,-4.08192674927529
-0.0837578867528173,-0.0413107204459777,0.347208318428799,"B/Plasma","grid_93",236.752491696,149.810187044,0.0933914301050342,98.8103500788192,-8.27614611190797,-4.08192674927529
0.0837578867528173,0.0413107204459777,0.347208318428799,"Endothelial","grid_93",236.752491696,149.810187044,0.0933914301050342,98.8103500788192,8.27614611190797,4.08192674927529
0.0837578867528173,0.0413107204459777,0.347208318428799,"Tumor","grid_93",236.752491696,149.810187044,0.0933914301050342,98.8103500788192,8.27614611190797,4.08192674927529
-1.08715741562389e-17,-6.43115594653979e-18,0.506512593418288,"Epithelial","grid_95",439.891000836,173.365909808,1.26313455911599e-17,730566655503296896,-7.9424095713795,-4.69838809088371
